OBJECTID,V
TRO-00845,1
TRO-01182,1
TRO-01215,3
TRO-01808,4
TRO-01922,5
TRO-01294,1
TRO-01860,1
TRO-01668,2
TRO-01774,4
TRO-02047,4
TRO-01296,1
TRO-01543,1
TRO-01764,2
TRO-01912,2
TRO-00763,4
TRO-01187,4
TRO-01045,3
TRO-01379,3
TRO-00735,1
TRO-01512,1
TRO-00736,2
TRO-01472,2
TRO-01498,5
TRO-00748,4
TRO-01102,4
TRO-01492,4
TRO-02066,4
TRO-01886,2
TRO-00753,1
TRO-01284,1
TRO-01904,1
TRO-00883,1
TRO-01942,1
TRO-00771,1
TRO-00953,1
TRO-02237,1
TRO-01285,2
TRO-00762,1
TRO-01219,2
TRO-00918,5
TRO-01671,5
TRO-00791,1
TRO-01619,2
TRO-02138,1
TRO-00799,1
TRO-01207,1
TRO-01733,1
TRO-01424,2
TRO-02228,1
TRO-01172,4
TRO-01776,5
TRO-00822,4
TRO-01065,4
TRO-01999,4
TRO-00827,4
TRO-01109,4
TRO-01930,4
TRO-00828,4
TRO-01790,4
TRO-00843,1
TRO-00930,1
TRO-01190,1
TRO-01454,1
TRO-01877,1
TRO-01752,1
TRO-01902,1
TRO-00867,2
TRO-01191,1
TRO-00872,4
TRO-01743,4
TRO-01549,3
TRO-01741,4
TRO-01885,3
TRO-01657,1
TRO-01975,1
TRO-00917,5
TRO-01440,4
TRO-00922,2
TRO-01949,1
TRO-02113,2
TRO-01359,2
TRO-01768,2
TRO-00948,3
TRO-00951,4
TRO-02179,3
TRO-01762,4
TRO-01810,4
TRO-01523,2
TRO-00959,4
TRO-00957,4
TRO-01037,4
TRO-01253,5
TRO-01586,5
TRO-00971,5
TRO-01978,5
TRO-00977,1
TRO-00982,5
TRO-01223,4
TRO-01314,2
TRO-01298,2
TRO-01656,2
TRO-01052,2
TRO-01794,2
TRO-02177,2
TRO-01011,1
TRO-01026,1
TRO-01028,5
TRO-01907,5
TRO-02148,3
TRO-01073,3
TRO-01273,3
TRO-01418,3
TRO-01100,4
TRO-01538,4
TRO-02159,4
TRO-01157,2
TRO-01739,2
TRO-01168,1
TRO-01233,1
TRO-01362,1
TRO-01200,1
TRO-01427,1
TRO-01958,1
TRO-01244,1
TRO-01550,1
TRO-02244,1
TRO-01264,5
TRO-01909,3
TRO-01345,3
TRO-01900,1
TRO-01403,3
TRO-01892,3
TRO-01979,4
TRO-01544,2
TRO-01939,1
TRO-01932,4
TRO-01920,4
TRO-01571,5
TRO-02017,5
TRO-01761,3
TRO-01726,4
TRO-01867,4
